text,rating,label,clean_text,text_length
"padahal gk buat kesalahan apapun, tapi kenapa akun saya di tangguhkan...?? aneh betul lah aplikasi ni",1,negative,gk salah apa akun tangguh aneh aplikasi ni,42
bebas menyampaikan pendapat dan berbagi wacana,5,positive,bebas dapat bagi wacana,23
Aplikasi ini bagus tapi kadang suka keluar sendiri terblokir sendiri gak tau kenapa jadi aku harus buat akun lagi tapi bagus kok aplikasi nya,5,positive,aplikasi bagus kadang suka blokir gak tau akun bagus aplikasi nya,65
tiba tiba akun ditangguhkan,1,negative,akun tangguh,12
aplikasi hacker no.1 yang membuat memory card micro Sd jadi rusak. jika bisa kasih bintang -5🌟 uninstall. Terimakasih atas perusakan nya.,1,negative,aplikasi hacker no memory card micro sd rusak kasih bintang uninstall terimakasih rusa nya,90
tbtb gaisa log in akunku hiksss,3,neutral,tbtb gaisa log in akun hikss,28
"makin kesini makin ga jelas,baperan dikit2 di tangguhkan di banned apalah ga jelas tod",1,negative,kesini ga baperan dikit tangguh banned apa ga tod,49
APK bhabhi akun gak kenapa-kenapa di tangguhkan,1,negative,apk bhabhi akun gak tangguh,27
kurang menarik,2,negative,tarik,5
saya suka,5,positive,suka,4
sngt buurukkkkk,1,negative,sngt buurukk,12
Sulit untuk login,1,negative,sulit login,11
"aplikasi busuk, sering lag, padahal sinyal bagus",1,negative,aplikasi busuk lag sinyal bagus,31
mntap,5,positive,mntap,5
top Markotop,5,positive,top markotop,12
please filter your app because there so many scam and phising,1,negative,please filter your app because there so many scam and phising,61
sangat menarik untuk tambah pengalaman da pengetahuan terimakasih,5,positive,tarik alam da tahu terimakasih,30
susah buat ganti username nya,3,neutral,susah ganti username nya,24
"Saya baru install ini aplikasi, pas login ke akun saya tidak bisa karena alasan aktivitas mencurigakan? What the? aku hanya ingin login ke akun ku kenapa itu salah dan dianggap mencurigakan, dan yang lebih konyol lagi akun ku di suspended padahal tidak melakukan apa apa, komen nge repost pun ngga pernah, aku rasa tingkat keamanan pada X ini bukan membuat nyaman malah bikin sangat tidak nyaman dam mengganggu",1,negative,install aplikasi pas login akun alas aktivitas curiga what the login akun ku salah anggap curiga konyol akun ku suspended komen nge repost ngga tingkat aman x nyaman bikin nyaman dam ganggu,189
gak ngerti lagi deh dengan aplikasi ini entah berapa tahun akun ku ditangguhkan dan sampai sekarang gak bisa dibenerin,1,negative,gak ngerti deh aplikasi akun ku tangguh gak dibenerin,53
"awalnya pakai Twitter digunakan tidak lama kemudian akun saya di tangguhkan tidak bisa pake sma sekali.ujung""ny saya delete install kembali tapi yang sama persis Twitter X tapi tetap sama jg di tangguhkan akun saya sampai sekarang belum pulih kembali.tidak jelas!semoga lebih baik lagi.",2,negative,pakai twitter akun tangguh pake sma ujung ny delete install persis twitter x jg tangguh akun pulih moga,103
error terus,1,negative,error,5
Cobain baru tau itu rasa,5,positive,cobain tau,10
"Twitter menurut ku bagus bagus aja, suka aja sama Twitter, selain bagus,mudah digunakan.",5,positive,twitter ku bagus bagus aja suka aja twitter bagus mudah,55
goodd,5,positive,goodd,5
login eror mulu ajig,1,negative,login eror mulu ajig,20
"apk gak guna mending unistal apk dari playstor aja X percuma di instal tapi dikit2 maen baneed ,,apk baperannn",1,negative,apk gak mending unistal apk playstor aja x instal dikit maen baneed apk baperann,80
Dikit dikit suspend padahal akun murni bukan bot dan nggak main spam.,1,negative,dikit dikit suspend akun murni bot nggak main spam,50
apasih kocak ganti nama username susah amat padahal sesuai ketentuan gajelas lu Twitter,1,negative,apasih kocak ganti nama username susah sesuai tentu gajelas lu twitter,70
"apl tidak bisa di,downlod",1,negative,apl downlod,11
Apl yang sangat menghibur diwktu senggang..!!! tapi saya lagi kesel... tiba-tiba akun X saya ditangguhkan,5,positive,apl hibur diwktu senggang kesel akun x tangguh,46
akses b*k*p termantap di sini gacor,5,positive,akses b k p mantap gacor,24
saya sangat puas,5,positive,puas,4
"i cant login to my account, and my account always suspend very bad app👎",1,negative,i cant login to my account and my account always suspend very bad app,69
"aplikasi jelek, sistem x jelek, beda dengan Twitter yang lama, akun ku di suspend tanpa alasan yang jelas, dan sudah beberapa bulan tidak ditanggapi oleh help center nya",1,negative,aplikasi jelek sistem x jelek beda twitter akun ku suspend alas tanggap help center nya,87
"gak jelas ,akun ku d banned,ntah apa masalah nya",1,negative,gak akun ku d banned ntah nya,29
"jelek, pengen masuk pake akun lama, tapi gabisa",1,negative,jelek ken masuk pake akun gabisa,32
selalu dalam keadaan teknis?,1,negative,teknis,6
jelek gak guna gak bisa login,1,negative,jelek gak gak login,19
"gbs login, tulisannya login denied terus padahal dlu2 aman aja. udh dicoba hapus chache dll ttp aj gbs, jelek bgt sih",1,negative,gbs login tulis login denied dlu aman aja udh coba hapus chache dll ttp aj gbs jelek bgt sih,92
"kenapa ya padahal saya gak melakukan apa apa tiba tiba di suruh banding trus tiba tiba ke band tiba tiba lagi akun saya hilang jadinya saya kasi bint 2 deh , mohon maaf tolong diperbaiki lagi sistemnya",2,negative,ya gak suruh banding trus band akun hilang kasi bint deh mohon maaf tolong baik sistem,86
"Semenjak ganti nama x jadi baperan jirr gk ngelakuin apa "" tiba² akun di tangguhkan tah apa masalahnya",1,negative,semenjak ganti nama x baperan jirr gk ngelakuin tiba akun tangguh tah,69
"HAHH?? AKUN TIBA-TIBA DITANGGUHKAN MAKSUDNYA APAAA WOYY, PADAHAL AKUN CUMAN 1 DI X JARANG JG GONTA-GANTI/SERING LOGOUT/IN",1,negative,hahh akun tangguh maksud apaa woyy akun cuman x jarang jg gonta ganti logout in,79
sangat membantu dalam mencari informasi,5,positive,bantu cari informasi,20
"Mohon bantuannya, mengapa akun saya tidak terdaftar? Saya login menggunakan nomor dan e mail yang benar, namun tidak terdeteksi akun saya Tidak dapat di buka melalui pc maupun hp Saya ingin kembali login ke akun saya",5,positive,mohon bantu akun daftar login nomor e mail deteksi akun buka pc hp login akun,77
"sekarang akun gampang banget tiba2 kena suspen, tapi akun judol dan yang gajelas malah dipelihara.",1,negative,akun gampang banget kena suspen akun judol gajelas pelihara,59
sangat baguss,5,positive,baguss,6
x gj skrng mkin gj gua ga ngapa ngapain tb tb akun ilang apalagi pas mau masukin email baru malah kesalahan teknis mulu padahal ni wifi juga bagus bagus aje bikin kesel,1,negative,x gj skrng mkin gj gua ga ngapa ngapain tb tb akun ilang pas masukin email salah teknis mulu ni wifi bagus bagus aje bikin kesel,128
apk taii gaa guna tolol,1,negative,apk taii gaa tolol,18
"akun aku gak ada salah kena suspend apalah, perbaiki nih aplikasi",1,negative,akun gak salah kena suspend apa baik nih aplikasi,49
pea malah di tangguhkan padahal gak ngapa ngapain,1,negative,pea tangguh gak ngapa ngapain,29
ribet buat akun aja susah,1,negative,ribet akun aja susah,20
GK bisa login,1,negative,gk login,8
login nya dipersulit bgt dah.,1,negative,login nya sulit bgt dah,23
kelebihan kualitas mantap jos,5,positive,lebih kualitas mantap jos,25
Bagus.. Kl bs postingan jgn yg susah di buka,4,positive,bagus kl bs postingan jgn yg susah buka,39
membantu,5,positive,bantu,5
aangat menyukainya,5,positive,aangat suka,11
okey banget,5,positive,okey banget,11
aplikasi gjls ga bisa login,1,negative,aplikasi gjls ga login,22
Ga jelas,5,positive,ga,2
"Tolong tingkatkan help centernya, akun saya tiba-tiba kena suspend tapi help centernya tidak membantu. Lalu bagaimana saya bisa mengembalikan akun saya??",1,negative,tolong tingkat help centernya akun kena suspend help centernya bantu kembali akun,81
"X sekarang terlalu ribet, balikin x seperti dulu yang ga nyusahin pengguna nya!!!!",1,negative,x ribet balikin x ga nyusahin guna nya,38
kenapa x ini dkit2 penangguhan,4,positive,x dkit tangguh,14
"Aplikasi modern, sangat mudah digunakan.",5,positive,aplikasi modern mudah,21
Slama g log in sekarang jadi ribet.,1,negative,slama g log in ribet,20
"kok sekarang aplikasi ini sering keblock akun secara tiba tiba tanpa ada alasan ,aneh ??!!",3,neutral,aplikasi keblock akun alas aneh,31
apk ny suka eror tolong di perbaiki lagi karena di saya bertuliskan kesalahan teknis❗❗busettt eror mulu nih apk pasti gara gara kasus yg di konoha 😹,1,negative,apk ny suka eror tolong baik tulis salah teknisbusett eror mulu nih apk gara gara yg konoha,91
aplikasi yang sangat bagus dan update,5,positive,aplikasi bagus update,21
"akun saya di tanggukan, padahal saya tidak melakukan pelanggaran-pelanggaran,",1,negative,akun tangguk langgar langgar,28
terupdate mengenai berita terkini di seluruh dunia,5,positive,terupdate berita kini dunia,27
"ayolah bung, saat saya ingin kembali ke akun lama saya malah tidak bisa, erorrrr selalu. beberapa akun saya juga tiba tiba menghilang, apakah ada yang ingin bilang ini apk bagus. hell nahh tentu saja tidak apk ini lambat laun menjadi tidak berguna",1,negative,ayo akun erorr akun hilang bilang apk bagus hell nahh apk lambat laun guna,74
udh berapaa kali bikin akun X tapi tetap di tangguhkan. padahal ga ngelakuin apa² di X. makin aneh sekarang X kita kaya di paksa ikut yg berbayar sama update yang ga guna di apk... mending dulu pas jaman nya Twitter,1,negative,udh berapaa kali bikin akun x tangguh ga ngelakuin apa x aneh x kaya paksa yg bayar update ga apk mending pas jaman nya twitter,127
terlalu banyak iklan judinya,1,negative,iklan judi,10
"sering eror, dm susah dibuka, ga muncul notif",1,negative,eror dm susah buka ga muncul notif,34
apiknya bagus. tapi akun saya ditangguhkan,5,positive,apik bagus akun tangguh,23
akun saya di-suspend cuma melihat berita pembunuhan di suspend,1,negative,akun suspend berita bunuh suspend,33
"aplikasi rusak, ngak niat bikin aplikasi",1,negative,aplikasi rusak ngak niat bikin aplikasi,39
"ga jelas, tiba-tiba suspend. ga ada posting yg ngelanggar. ga kaya Twitter jaman dulu👎🏼",1,negative,ga suspend ga posting yg ngelanggar ga kaya twitter jaman,57
g mutu,1,negative,g mutu,6
knapa punya saya di tangguh kan,4,positive,knapa tangguh,13
apkmu iki yokpo kok raiso dileboni akunn,1,negative,apkmu iki yokpo raiso dileboni akunn,36
aku ketemu pedofil di x,1,negative,ketemu pedofil x,16
mantap buat berita terbarunya,5,positive,mantap berita baru,18
seru,5,positive,seru,4
"loading nya lama banget nih, mana akun duka keluar sndr gjls. tolong dong PERBAIKI ya, terimakasih.",1,negative,loading nya banget nih akun duka sndr gjls tolong baik ya terimakasih,69
semua mengeluh account nya terkena suspend permanently ayok sama sama kasih bintang satu biar keluhan kita di tanggapi kalau perlu di hapus app ini dari PlayStore,1,negative,keluh account nya kena suspend permanently ayok kasih bintang biar keluh tanggap hapus app playstore,100
"Gw cuma fokus liat berita malah kena penangguhan akun padahal cuma repost aja, di buka malah gk bisa mulu dh apk busuk",1,negative,gw fokus liat berita kena tangguh akun repost aja buka gk mulu dh apk busuk,75
lemahh,1,negative,lemahh,6
"aneh nih apk skrng, orang gak ngapa ngapain, enak enak scroll, tiba tiba akun di suspend",1,negative,aneh nih apk skrng orang gak ngapa ngapain enak enak scroll akun suspend,72
cacat akun kekunci mulu,5,positive,cacat akun kunci mulu,21
masa ga bisa login kenapa yaa,3,neutral,ga login yaa,12
akun saya ditangguhkan. dan lama sekali menunggu responnya padahal sudah saya ajukan banding,1,negative,akun tangguh tunggu responnya aju banding,41
mantaps,5,positive,mantaps,7
aplikasi ini sangat bagus dan nyaman,5,positive,aplikasi bagus nyaman,21
ban my account without a reason,1,negative,ban my account without a reason,31
"Selama memakai apk X / Twitter ini banyak fitur yang menarik dan keren. Bisa saling follow dan berteman dengan pengguna lainnya. Belum ada kendala sih, Good Job👍🏿",5,positive,pakai apk x twitter fitur tarik keren follow teman guna kendala sih good job,76
"tbtb logout sendiri terus pas login ulang malah gbs, ktnya error. padahal di web bisa",1,negative,tbtb logout pas login ulang gbs ktnya error web,47
apl ini tak laku makanya slalu di tangguhka,1,negative,apl laku slalu tangguhka,24
"Give me back my account which you are still suspending for, it's been a long time but you are still suspending it pls remove the charge pls, I did nothing wrong Elon.",1,negative,give me back my account which you are still suspending for it s been a long time but you are still suspending it pls remove the charge pls i did nothing wrong elon,163
kenapa susah buat daftar akun sama buka akun ya.?,3,neutral,susah daftar akun buka akun ya,30
ini aplikasinya kenapa ya?udah login pakai sandi yang betul masih aja susah bgt buat login sampai bbrp kali.terus ditinggal sebentar eh mau buka lagi akun saya malah disuruh login terus apaan maksudnya kayak gitu.coba diperbaiki woyyyy,1,negative,aplikasi ya udah login pakai sandi aja susah bgt login bbrp kali tinggal sebentar eh buka akun suruh login maksud kayak gitu coba baik woyy,139
buruk,5,positive,buruk,5
"Tolong di perbaiki, aku ga ngapain² tiba-tiba keluar dari akun ku. Mau masuk akun itu lagi, tapi ga bisa.",2,negative,tolong baik ga ngapain akun ku masuk akun ga,44
"Why comments, followers/following, threads can't be scroll down full till the last? please fix this, thanks",3,neutral,why comments followers following threads can t be scroll down full till the last please fix this thanks,103
"pake web bisa masuk tapi pake apk setelah update susah banget buat masuk, aplikasi tambah jelek semenjak di beli elon",1,negative,pake web masuk pake apk update susah banget masuk aplikasi jelek semenjak beli elon,83
"horrible. you suspend account so easily for no reasons and now this ""Chat"" feature is so useless. it makes everything horrible.",1,negative,horrible you suspend account so easily for no reasons and now this chat feature is so useless it makes everything horrible,122
Aplikasi ini mantap 👍👍👍👍,5,positive,aplikasi mantap,15
"tidak bisa login, tidak bisa daftar ulang, tidak bisa bikin akun",1,negative,login daftar ulang bikin akun,29
ga bisa buat akunnya cape aku udh buat namanya malah salah' mulu kaga bisa diapa'in lagi,1,negative,ga akun cape udh nama salah mulu kaga apa in,44
jelek jelek jelek gabisa login,1,negative,jelek jelek jelek gabisa login,30
sampah,1,negative,sampah,6
"akun saya selalu di tangguhkan,padahal sy tidak melakukan pelanggaran apa"", tolong kembalikan ke semula, please 🙏",5,positive,akun tangguh sy langgar tolong kembali please,45
akun tiba tiba di tanggukan dan sudah mengajukan banding help center nga membantu,1,negative,akun tangguk aju banding help center nga bantu,46
"aplikasi tempek ga seperti dulu, akun selalu hilang saat udah rame",1,negative,aplikasi tempek ga akun hilang udah rame,40
tidak ada kendala,5,positive,kendala,7
"aplikasi Twitter akhir akhir ini sangat jelas, keluar terus untuk login pas login tidak bisa masuk keterangan login eror",1,negative,aplikasi twitter login pas login masuk terang login eror,56
"ini kenapa dengan x saya ya????? saya selalu buka obrolan harus pakai sandi, sandinya bener tapi habis itu selalu keluar aplikasi....",3,neutral,x ya buka obrol pakai sandi sandi bener habis aplikasi,54
knp gk bisa yh daftar nya,1,negative,knp gk yh daftar nya,20
suspen aja terus.. gak jelas banget.. papar kan kesalahan nya apa? indikasi apa? gak tau apa2 suspen,1,negative,suspen aja gak banget papar salah nya indikasi gak tau suspen,61
ge jelas mau ganti passwordngabisa bisa,1,negative,ge ganti passwordngabisa,24
semoga segera di buka listing,5,positive,moga buka listing,17
toppppppppppp,5,positive,topp,4
"dikit dikit suspend, orang ga salah apa apa di suspend",1,negative,dikit dikit suspend orang ga salah suspend,42
"5.4/10| App ini diberikan rating 12+ dan saya berumur 15 tahun, namun saya mendapat tweet dimana ada kata rasis di beranda saya, saya menggunakan app ini hanya untuk mencari artist gambar saja. Dan tolong algoritmanya diperketat tentang konten-konten yang sensitif di beranda kepada pengguna yang diketahui berumur 13 tahun.",3,neutral,app rating umur tweet mana ras beranda app cari artist gambar tolong algoritmanya ketat konten konten sensitif beranda guna umur,128
tolol,1,negative,tolol,5
"semua akun ditangguhin , kocak",1,negative,akun ditangguhin kocak,22
banyak bokep nya 🥲,5,positive,bokep nya,9
aplikasi x sangat bagus semoga semakin baik kedepanya,5,positive,aplikasi x bagus moga depa,26
ga jelas cari nama orang ga bisa padahal sinyal bagus,1,negative,ga cari nama orang ga sinyal bagus,34
"apk gajelas, padahal nama pengguna udah bener, tpi masih gabisa login, klo mau verifikasi keamanan ya ga usah sampe segitunya lah, orang jdi pusing tau ga",1,negative,apk gajelas nama guna udah bener tpi gabisa login klo verifikasi aman ya ga sampe segitunya orang jdi pusing tau ga,115
aplikasi eror...aku tak pernah otak Atik eh pas buka tiba2 akun anda di tangguh kan! lol mau aju banding malah gx bisa..,1,negative,aplikasi eror otak atik eh pas buka akun tangguh lol aju banding gx,67
"Aplikasi TERBURUK,saat lagi daftar menggunakan google,lalu idi nama pengguna salah terus,sudah berulang kali salah.",1,negative,aplikasi buruk daftar google idi nama guna salah ulang kali salah,65
apk gajelas,1,negative,apk gajelas,11
"udh punya akun Twitter tapi mau login butuh verifikasi aku lupa semua,abis itu pas mau buat akun baru tulisan nya terjadi kesalahan terusss",1,negative,udh akun twitter login butuh verifikasi lupa abis pas akun tulis nya salah teruss,81
"aplikasi yg sangat buruk mengecewakan, akun selalu di tangguhkan, nyesal install aplikasi ini",1,negative,aplikasi yg buruk kecewa akun tangguh nyesal install aplikasi,61
"twiterr sekarang busuk,, udah 2 akun tiba2 di tangguh kan. help center jg nggak berguna. mending hapus aja aplikasi busuk",1,negative,twiterr busuk udah akun tangguh help center jg nggak guna mending hapus aja aplikasi busuk,90
aplikasi ga jelas kaya kanjuttt,1,negative,aplikasi ga kaya kanjutt,24
blok block.. use threads better,1,negative,blok block use threads better,29
tidak dapat di install,1,negative,install,7
"sangat2 buruk sekali lebih nyaman twiter dri pada x ini makin buruk tiba2 akun di tanguhkan permanen tanpa ada kesalahan apapun ,,",1,negative,buruk nyaman twiter dri x buruk akun tanguhkan permanen salah apa,65
"aduhh, gadulu dehh. aplikasi nya gajelas, wifi udh bagus, ga ada apa-apa, tapi ga bisa daftar, udah nunggu lama biar bisa daftar lagi eh sama aja, perbaikin lah minimal, gajelas bgt",1,negative,aduhh gadulu dehh aplikasi nya gajelas wifi udh bagus ga ga daftar udah nunggu biar daftar eh aja perbaikin minimal gajelas bgt,127
"aplikasi jelek,kacau banget parah",1,negative,aplikasi jelek kacau banget parah,33
Not friendly social media 💫👎,1,negative,not friendly social media,25
ga jelas nhent0t di tanguhin mulu akun gw,1,negative,ga nhentt tanguhin mulu akun gw,31
kurang memuaskan bos,2,negative,muas bos,8
"banyak bug, tidak semenarik dan sebebas yang dulu, terlalu banyak limit di dm",1,negative,bug tarik bebas limit dm,24
Update banget,5,positive,update banget,13
Semenjak ganti nama twiter ini hancur,1,negative,semenjak ganti nama twiter hancur,33
niatnya sih mw login ke akun yg ditangguhkan tpi pas udh smpe ke titik mau masuk malah gabisa jujur Twitter agak ngeselin yh sekarang,1,negative,niat sih mw login akun yg tangguh tpi pas udh smpe titik masuk gabisa jujur twitter ngeselin yh,95
"tiba2 akun gak bisa di buka, padahal akun udh buat dari 2013, dan buat lagi, tiba2 di tangguhkan, aneh Bner ni X, ganti aja namanya ke Twitter aja, biar bner lagi",1,negative,akun gak buka akun udh tangguh aneh bner ni x ganti aja nama twitter aja biar bner,82
"orang orang nya IQ tinggi semua,ka",5,positive,orang orang nya iq ka,21
tidak bisa membuat akun,1,negative,akun,4
ga bagus.. account logout,1,negative,ga bagus account logout,23
iklan nya parah,5,positive,iklan nya parah,15
jangan di download karena nanti akun kalian gk bisa di masukin lagi,2,negative,download akun gk masukin,24
"aplikasi gjls, sering eror buat login ulang ga bisa katanya kesalahan teknis. padahal udh lebih dari 2 Minggu tapi tetep ga bisa, pls deh kenapa si sering kaya gini???",1,negative,aplikasi gjls eror login ulang ga salah teknis udh minggu tetep ga pls deh si kaya gin,86
banyak menpaat,5,positive,menpaat,7
banyak pengetahuan dan pengalaman memberikan wawasa,4,positive,tahu alam wawasa,16
aplikasi x merugikan,1,negative,aplikasi x rugi,15
tidak bisa login,1,negative,login,5
"akun sering ditangguhkan, lagi enak baca informasi terbaru malah logout sendiri, gak jelas lagi ditangguhkan kenapa",1,negative,akun tangguh enak baca informasi baru logout gak tangguh,56
"aplikasi ga guna, masa dikit dikit logout, udh gitu sampe kena penangguhan gila, aplikasi ga bermutu",1,negative,aplikasi ga dikit dikit logout udh gitu sampe kena tangguh gila aplikasi ga mutu,80
aplikasi yang sangat membantu contohnya untuk suport aplikasi-aplikasi lain yang membutuhkan dukungan X twitter,5,positive,aplikasi bantu contoh suport aplikasi aplikasi butuh dukung x twitter,69
gak bisa ganti nama astaga kenapa sih?,1,negative,gak ganti nama astaga sih,25
"kenapa mendadak akun saya kena suspend, padahal saya tidak pernah komen, saya hanya pakai akun buat pantau timeline artis favorit saya",2,negative,dadak akun kena suspend komen pakai akun pantau timeline artis favorit,70
